"month","operator","distance_bin_miles","trips","avg_distance_miles","avg_base_fare","avg_total_fare","fare_p50","fare_p90","avg_duration_min","sum_base_fare","sum_miles"
"2025-07-01","Uber",17,136063,17.489,78.08,96.87,72.6,118.53,47.81,10624415.21,2379565.31
"2025-07-01","Uber",18,100577,18.457,78.63,96.74,72.89,118.86,49.42,7908800.44,1856302.47
"2025-07-01","Uber",19,69908,19.469,78.32,96,72.68,116.58,49.76,5475136.55,1361037.84
"2025-07-01","Uber",20,53674,20.471,81.09,99.15,75.57,120.44,50.78,4352296.8,1098775.71
"2025-07-01","Uber",21,39776,21.475,84.78,103.3,79.45,126.49,52.37,3372402.73,854177.3
"2025-07-01","Uber",22,31699,22.475,88.1,107,82.82,130.14,52.77,2792812.19,712449.64
"2025-07-01","Uber",23,25493,23.479,91.29,110.52,86.12,133.08,53.06,2327223.71,598539.08
"2025-07-01","Uber",24,21439,24.487,94.81,114.37,89.78,137.59,53.45,2032732.55,524976.43
"2025-07-01","Uber",25,19521,25.486,100.24,120.52,94.93,144.38,54.15,1956764.16,497515.4
"2025-07-01","Uber",26,17731,26.483,105.57,126.56,100.23,152.39,54.97,1871814.46,469577.46
"2025-07-01","Uber",27,15974,27.49,110.51,132.46,106.12,156.68,56.08,1765338.12,439125.91
"2025-07-01","Uber",28,14067,28.476,114.79,137.52,110.45,161.62,57.48,1614692.46,400575.79
"2025-07-01","Uber",29,11201,29.479,120.19,142.94,116.14,168.31,58.73,1346239.1,330196.7
"2025-07-01","Uber",30,9593,30.483,125.41,148.21,121.8,174.74,59.65,1203037.03,292426.43
"2025-07-01","Uber",31,8374,31.484,128.32,151.01,124.89,176.94,60.55,1074561.32,263649.85
"2025-07-01","Uber",32,8156,32.492,133.48,156.23,129.44,185.32,61.16,1088640.58,265005.76
"2025-07-01","Uber",33,6658,33.48,137.33,160.57,132.33,191.31,62.99,914351.97,222909.54
"2025-07-01","Uber",34,6058,34.488,143.84,167.1,139.05,198.45,64.19,871402.17,208929.27
"2025-07-01","Uber",35,5561,35.488,145.91,169.12,141.2,201.9,64.54,811390.41,197346.3
"2025-07-01","Uber",36,4979,36.488,150.47,174.44,144.42,207.43,66.5,749181.23,181673.87
"2025-07-01","Uber",37,4323,37.488,153.04,176.41,147.77,211.77,66.93,661611.99,162059.47
"2025-07-01","Uber",38,4119,38.491,157.25,180.21,152.99,215.53,68.21,647693.31,158545.33
"2025-07-01","Uber",39,3617,39.483,161.56,184.06,155.56,220.5,69.92,584378.49,142809.43
"2025-07-01","Uber",40,3127,40.484,162.54,185.86,155.66,219.48,71.19,508274.66,126593.31
"2025-07-01","Uber",41,2844,41.489,166.63,190.22,161.63,226.49,71.21,473884.81,117995.38
"2025-07-01","Uber",42,2550,42.491,171.07,194.82,165.52,230.45,72.21,436223.6,108351.89
"2025-07-01","Uber",43,2380,43.48,173.84,197.41,168.17,234.75,73.13,413743.33,103483.51
"2025-07-01","Uber",44,2264,44.495,177.15,200.7,172.73,239.06,73.54,401073.24,100735.87
"2025-07-01","Uber",45,2155,45.482,182.61,207.05,175.53,249.14,75.82,393518.94,98013.54
"2025-07-01","Uber",46,1932,46.488,184.29,208.9,177.97,247.36,76.62,356052.06,89814.26
"2025-07-01","Uber",47,1835,47.486,187.26,212.41,181.44,250.65,78.03,343616.91,87137.41
"2025-07-01","Uber",48,1733,48.48,191.51,217.03,185.62,256.58,79.34,331886.89,84015.54
"2025-07-01","Uber",49,1696,49.495,195.59,221.66,189.96,259.83,80.8,331727.33,83944.35
"2025-07-01","Uber",50,1538,50.494,198.84,224.92,194.11,259.47,82.71,305814.04,77659.12
"2025-07-01","Uber",51,1458,51.488,202.9,229.47,198.03,266.26,82.92,295831.15,75069.11
"2025-07-01","Uber",52,1398,52.491,203.57,230.59,197.72,268.04,84.66,284597.17,73382.28
"2025-07-01","Uber",53,1245,53.491,203.95,230.59,198.46,267.63,84.88,253916.35,66596.43
"2025-07-01","Uber",54,1103,54.491,213.28,240.05,205.92,290.3,87,235248.02,60103.85
"2025-07-01","Uber",55,968,55.469,209.32,235.51,205.4,276.01,88.63,202620.82,53694.05
"2025-07-01","Uber",56,955,56.497,215.46,241.88,205.9,285.47,89.86,205767.77,53954.58
"2025-07-01","Uber",57,965,57.481,217.35,243.92,208.51,292.95,89.87,209746.37,55469.14
"2025-07-01","Uber",58,832,58.497,220.12,247.4,214.01,294.42,92.42,183142.64,48669.81
"2025-07-01","Uber",59,779,59.491,218.71,245.56,211.09,288.45,93.29,170374.07,46343.38
"2025-07-01","Uber",60,12119,83,299.02,334.53,266.32,441.46,120.52,3623763.19,1005877.54
"2025-08-01","Lyft",0,566978,0.733,8.06,9.84,7.3,10.45,6.01,4567219.21,415485.58
"2025-08-01","Lyft",1,1251063,1.485,11.94,14.45,11.36,16.04,10.27,14936702.39,1858250.23
"2025-08-01","Lyft",2,885151,2.467,16.94,20.12,16.26,21.97,14.75,14997524.83,2183347.52
"2025-08-01","Lyft",3,616660,3.471,21.4,25.48,20.7,27.6,18.32,13195503.13,2140352.18
"2025-08-01","Lyft",4,454296,4.475,25.25,30.3,24.48,32.69,21.2,11468890.62,2032855.18
"2025-08-01","Lyft",5,335469,5.473,28.64,34.35,27.64,37.41,23.47,9606210.73,1836066.89
"2025-08-01","Lyft",6,253068,6.477,31.7,38.15,30.42,41.51,25.25,8021902.69,1639183.39
"2025-08-01","Lyft",7,193936,7.475,35.4,42.95,33.92,46.31,27.07,6864433.02,1449607.87
"2025-08-01","Lyft",8,153980,8.483,39.17,48.41,37.51,51.13,28.95,6031793.66,1306207.05
"2025-08-01","Lyft",9,135136,9.493,43.13,53.8,41.26,56.28,30.79,5828032.42,1282801.76
"2025-08-01","Lyft",10,117167,10.476,46.41,57.24,44.59,59.65,32.65,5437357.08,1227452.43
"2025-08-01","Lyft",11,87354,11.475,49.51,60.2,47.57,63.64,34.91,4324639.73,1002390.49
"2025-08-01","Lyft",12,65640,12.473,52.54,63.92,50.53,67.44,36.92,3448454.76,818758.6
"2025-08-01","Lyft",13,53070,13.487,56.35,69.18,54.11,72.52,38.77,2990265.25,715772.42
"2025-08-01","Lyft",14,46491,14.487,59.81,73.14,57.48,76.7,40.45,2780465.72,673510.26
"2025-08-01","Lyft",15,39894,15.487,63.09,77.05,60.43,81.34,42.36,2516800.65,617834.42
"2025-08-01","Lyft",16,41823,16.519,68.48,85.3,65.47,89.37,44.8,2863954.28,690867.45
"2025-08-01","Lyft",17,45072,17.49,73.24,91.06,69.95,96.06,47.65,3300958.29,788317.17
"2025-08-01","Lyft",18,33975,18.465,75.15,92.54,71.73,97.73,49.12,2553166.16,627346.74
"2025-08-01","Lyft",19,22874,19.474,76.48,93.93,73.18,98.41,49.31,1749363.7,445448.77
"2025-08-01","Lyft",20,16933,20.476,78.84,96.68,75.77,100.58,50.39,1335035.01,346718.49
"2025-08-01","Lyft",21,12865,21.48,81.73,99.79,78.42,105.19,51.75,1051396.38,276341.84
"2025-08-01","Lyft",22,10392,22.487,83.88,102.66,80.79,107.16,52.23,871664.98,233681.27
"2025-08-01","Lyft",23,9024,23.487,85.63,104.73,82.83,108.98,52.32,772750.44,211948.3
"2025-08-01","Lyft",24,7755,24.502,87.72,106.68,85.12,113.36,53.02,680253.28,190016.63
"2025-08-01","Lyft",25,7554,25.495,89.96,109.25,87.25,115.11,53.34,679529.24,192592.19
"2025-08-01","Lyft",26,6997,26.486,92.47,111.79,89.9,119.45,54.52,647013.57,185321.99
"2025-08-01","Lyft",27,6312,27.5,96.17,116.68,93.1,122.57,55.62,607025.91,173581.54
"2025-08-01","Lyft",28,5594,28.483,99.36,120.57,96.39,126.24,56.98,555838.66,159333.23
"2025-08-01","Lyft",29,4411,29.479,102.19,123.37,99.04,128.59,58.15,450742.42,130030.57
"2025-08-01","Lyft",30,3735,30.49,107.17,128.67,103.37,135.8,59.7,400262.82,113878.74
"2025-08-01","Lyft",31,3388,31.492,110.01,131.47,105.78,138.94,60.79,372725.48,106694.59
"2025-08-01","Lyft",32,3235,32.481,112.2,133.42,107.99,140.16,61.35,362978.06,105074.54
"2025-08-01","Lyft",33,2520,33.491,116.14,137.62,111.35,146.4,63.49,292669.17,84398.36
"2025-08-01","Lyft",34,2229,34.49,118.71,140.03,113.75,148.68,63.88,264609.36,76878.19
"2025-08-01","Lyft",35,2156,35.495,121.14,143.28,116.75,150.75,65.02,261177.96,76526.84
"2025-08-01","Lyft",36,1880,36.499,124.61,146.99,118.96,157.26,67.45,234259.03,68618.91
"2025-08-01","Lyft",37,1775,37.494,127.66,149.36,121.61,161.35,67.92,226591.75,66552.19
"2025-08-01","Lyft",38,1699,38.494,129.77,151.61,124.75,164.36,69.28,220478.68,65401.9
"2025-08-01","Lyft",39,1527,39.485,131.48,153.51,127.16,164.74,70.4,200766.81,60293.02
"2025-08-01","Lyft",40,1264,40.486,136.42,158.97,130.99,173.9,71.93,172437.33,51174.3
"2025-08-01","Lyft",41,1135,41.507,137.54,159.94,132.29,172.63,71.7,156113.52,47110.7
"2025-08-01","Lyft",42,1104,42.508,141.66,163.71,134.89,179.38,74.99,156388.91,46929.06
"2025-08-01","Lyft",43,965,43.488,142.03,164.49,137.46,176.98,75.03,137061.61,41965.6
"2025-08-01","Lyft",44,983,44.504,144.15,165.78,139.26,180.75,76.17,141704.27,43747.18
"2025-08-01","Lyft",45,921,45.485,147.75,170.26,142.65,182.26,76.36,136077.84,41891.7
"2025-08-01","Lyft",46,785,46.502,152.84,176.05,147.45,190.19,78.16,119982.64,36503.79
"2025-08-01","Lyft",47,735,47.492,156.67,180.57,150.89,196.71,78.8,115151.61,34906.68
"2025-08-01","Lyft",48,662,48.495,157.59,180.48,150.96,196.81,80.89,104326.59,32104.02
"2025-08-01","Lyft",49,622,49.493,162.52,186.11,156.55,198.5,83.47,101088.16,30784.69
"2025-08-01","Lyft",50,579,50.459,166.37,190.56,158.65,212.89,83.53,96326.72,29215.73
"2025-08-01","Lyft",51,500,51.49,168.78,193.4,161.45,212.44,83.41,84390.83,25744.87
"2025-08-01","Lyft",52,432,52.489,172,196.69,165.56,215.25,86.09,74302.78,22675.45
"2025-08-01","Lyft",53,398,53.476,174.49,198.91,167.32,217.97,88.41,69446.7,21283.62
"2025-08-01","Lyft",54,324,54.502,177.55,201.77,170.91,219.12,87.97,57526.47,17658.73
"2025-08-01","Lyft",55,354,55.481,184.03,208.76,172.8,230.8,91.27,65147.16,19640.27
"2025-08-01","Lyft",56,276,56.499,192.83,216.75,181.07,236.49,95.89,53220.29,15593.61
"2025-08-01","Lyft",57,273,57.483,187.12,212.38,178.04,236.65,89.91,51083.82,15692.85
"2025-08-01","Lyft",58,253,58.475,191.92,217.69,183.24,240.96,93.14,48556.57,14794.15
"2025-08-01","Lyft",59,217,59.486,200.43,226.17,188.02,251.84,93.61,43492.86,12908.49
"2025-08-01","Lyft",60,4053,83.482,263.08,296.61,239.9,367.29,123.06,1066275,338352.21
"2025-08-01","Uber",0,1296555,0.746,10.04,12.33,8.9,14.24,5.87,13016962.51,967327.44
"2025-08-01","Uber",1,3167067,1.466,13.37,16.19,11.8,19.72,9.87,42340119.6,4644290.29
"2025-08-01","Uber",2,2018330,2.459,18.22,21.67,16.46,26.38,14.52,36765099.7,4962354.09
"2025-08-01","Uber",3,1395535,3.467,21.92,26.1,20.28,31.44,18.15,30585421.75,4838990
"2025-08-01","Uber",4,1015408,4.47,24.87,29.88,23.26,35.66,21.03,25251855.64,4539357.37
"2025-08-01","Uber",5,763554,5.471,27.62,33.21,25.76,40.18,23.33,21086405.32,4177045.51
"2025-08-01","Uber",6,596205,6.477,30.04,36.27,28,43.84,25.1,17911846.84,3861905.93
"2025-08-01","Uber",7,493890,7.481,33.26,40.52,31.1,48.47,26.88,16427012.74,3694904.27
"2025-08-01","Uber",8,432979,8.488,37.14,46.26,34.63,54.58,28.67,16080569.57,3674988.54
"2025-08-01","Uber",9,411164,9.488,42.73,53.76,39.53,64.41,30.62,17570673.87,3901155.93
"2025-08-01","Uber",10,342666,10.472,45.89,57.01,42.58,68.5,32.51,15724551.53,3588503.81
"2025-08-01","Uber",11,250651,11.471,47.02,57.61,44.05,68.8,34.72,11785029.45,2875318.67
"2025-08-01","Uber",12,194153,12.47,49.29,60.34,46.27,71.97,36.53,9569731.86,2421109.74
"2025-08-01","Uber",13,158093,13.483,53.38,65.74,49.72,78.78,38.31,8439012.77,2131604.22
"2025-08-01","Uber",14,137274,14.481,57.45,70.54,53.71,84.59,39.9,7885784.87,1987927.49
"2025-08-01","Uber",15,115938,15.479,60.95,74.44,57.1,89.42,41.97,7066243.69,1794556.66
"2025-08-01","Uber",16,119439,16.513,69.68,86.34,65.07,104.1,44.04,8322759.96,1972251.76
"2025-08-01","Uber",17,134618,17.492,78.82,97.66,73.82,117.81,47.6,10610123.2,2354795.4
"2025-08-01","Uber",18,100577,18.458,79.46,97.71,74.25,118.27,49.39,7992010.42,1856462.42
"2025-08-01","Uber",19,69352,19.468,78.8,96.5,74.1,114.95,49.61,5464661.69,1350133.65
"2025-08-01","Uber",20,52919,20.469,81.6,99.67,76.89,119.04,50.71,4317936.62,1083178.31
"2025-08-01","Uber",21,39061,21.475,85.37,103.95,80.81,124.02,52.16,3334474.08,838834.34
"2025-08-01","Uber",22,30236,22.476,88.15,107.04,83.54,127.28,52.52,2665336.69,679595.67
"2025-08-01","Uber",23,24416,23.476,90.58,109.83,86.52,129.99,52.77,2211654.44,573180.28
"2025-08-01","Uber",24,20049,24.485,94.82,114.47,90.65,134.9,53.44,1901065.22,490893.47
"2025-08-01","Uber",25,18113,25.484,99.64,119.95,95.18,141.14,54.13,1804692.28,461592.06
"2025-08-01","Uber",26,16636,26.479,103.56,124.3,98.93,146.16,54.89,1722904.41,440511.18
"2025-08-01","Uber",27,14163,27.485,109.68,131.39,105.66,154.45,55.67,1553358.67,389275.81
"2025-08-01","Uber",28,12862,28.48,114.08,136.65,109.93,160.3,56.73,1467300.28,366305.05
"2025-08-01","Uber",29,10112,29.476,118.09,140.8,113.69,164.52,58.34,1194119.67,298059.24
"2025-08-01","Uber",30,8664,30.48,123.45,146.07,119.37,173.34,59.15,1069599.78,264080.46
"2025-08-01","Uber",31,7652,31.49,128.14,150.81,123.28,178.33,60.14,980544.17,240963.37
"2025-08-01","Uber",32,7302,32.491,132.03,154.37,128.34,181.58,60.52,964076.17,237246.67
"2025-08-01","Uber",33,6189,33.483,137.3,160.45,132.19,192.6,62.47,849758.64,207226.28
"2025-08-01","Uber",34,5338,34.49,139.98,163.03,135.42,193.7,63.92,747192.58,184107.68
"2025-08-01","Uber",35,4951,35.488,146.04,169.1,140.63,201.82,64.34,723058.73,175700.08
"2025-08-01","Uber",36,4530,36.485,147.93,172,142.17,204.13,66.25,670104.83,165278.13
"2025-08-01","Uber",37,3926,37.485,151.58,174.81,146.1,210.5,66.92,595113.99,147165.17
"2025-08-01","Uber",38,3745,38.482,155.14,177.9,149.63,213.92,68.1,580997.01,144116.33
"2025-08-01","Uber",39,3302,39.485,160.32,183.24,153.63,223.57,69.09,529365.22,130378.87
"2025-08-01","Uber",40,2873,40.488,160.87,183.99,154.83,222,71.05,462181.93,116322.37
"2025-08-01","Uber",41,2510,41.493,166.11,189.98,159.72,228.83,72.11,416934.2,104146.34
"2025-08-01","Uber",42,2323,42.488,171.58,195.31,163.77,236.68,72.61,398584.4,98699.88
"2025-08-01","Uber",43,2036,43.497,173.07,197.83,166.69,236.72,73.47,352360.97,88559.37
"2025-08-01","Uber",44,2037,44.5,175.39,199.59,169.11,242.26,74.5,357276.02,90646.75
"2025-08-01","Uber",45,1945,45.48,178.52,203.21,172.55,243.23,75.83,347218.95,88457.97
"2025-08-01","Uber",46,1879,46.488,182.34,207.4,175.78,244.52,76.99,342608.69,87351.74
"2025-08-01","Uber",47,1641,47.503,186.01,211.74,179.22,250.74,78.65,305243.48,77952.27
"2025-08-01","Uber",48,1547,48.482,189.39,215.36,181.75,257.09,78.73,292990.72,75001.92
"2025-08-01","Uber",49,1556,49.517,192.24,218.57,184.52,261.82,80.21,299123.83,77048.56
"2025-08-01","Uber",50,1498,50.497,193.14,219.57,186.5,261.33,81.25,289330.75,75644.75
"2025-08-01","Uber",51,1464,51.488,199.16,225.74,192.36,268.45,82.43,291566.67,75378.62
"2025-08-01","Uber",52,1279,52.472,205.13,231.91,199.55,279.42,84.9,262365.29,67111.68
"2025-08-01","Uber",53,1090,53.492,206.52,234.39,196.49,277.65,86.75,225102.84,58306.08
"2025-08-01","Uber",54,998,54.487,210.9,237.9,200.58,288.44,87.81,210475.47,54377.92
"2025-08-01","Uber",55,941,55.481,213.35,240.55,206.3,287.43,88.94,200765.88,52207.78
"2025-08-01","Uber",56,937,56.479,211.85,238.6,204.42,279.1,89.43,198500.9,52920.88
"2025-08-01","Uber",57,887,57.479,216.31,243.33,210.63,283.89,91.08,191864.27,50983.47
"2025-08-01","Uber",58,780,58.496,216.18,243.37,207.83,288.26,93.08,168617.62,45626.86
"2025-08-01","Uber",59,709,59.478,222.15,249.19,215.13,295.9,93.66,157502.52,42170.18
"2025-08-01","Uber",60,11762,82.275,296.28,331.53,266.94,446.11,119.49,3484786.94,967723.05
"2025-09-01","Lyft",0,581291,0.731,8.46,10.38,7.3,11.02,6.34,4916330,424832.16
"2025-09-01","Lyft",1,1222362,1.482,12.62,15.37,11.73,17.53,10.94,15421447.61,1811728.22
"2025-09-01","Lyft",2,835651,2.467,18.29,21.77,17.31,24.48,15.8,15280152.52,2061489.07
"2025-09-01","Lyft",3,579082,3.471,23.18,27.64,22.18,30.85,19.56,13425949.96,2009871.56
"2025-09-01","Lyft",4,442778,4.478,27.32,32.79,26.3,36.27,22.63,12097635.17,1982682.8
"2025-09-01","Lyft",5,326564,5.472,30.95,37.04,29.68,41.39,25.06,10105769.08,1786951.05
"2025-09-01","Lyft",6,245546,6.479,34.22,41.04,32.64,45.81,26.97,8401435.45,1590839.87
"2025-09-01","Lyft",7,193045,7.478,37.7,45.67,35.84,50.31,28.77,7278557.43,1443556.76
"2025-09-01","Lyft",8,157859,8.488,41.49,51.32,39.38,55.1,31.04,6549855.97,1339852.84
"2025-09-01","Lyft",9,142049,9.491,45.26,56.62,42.93,59.94,33.13,6428432.53,1348247.16
"2025-09-01","Lyft",10,118657,10.473,48.55,59.93,46.27,63.74,34.86,5761131.22,1242695.5
"2025-09-01","Lyft",11,84114,11.47,51.76,63,49.46,67.35,36.98,4353579.31,964816.25
"2025-09-01","Lyft",12,63300,12.472,54.82,66.71,52.43,70.77,38.63,3470243.75,789470.12
"2025-09-01","Lyft",13,51962,13.49,58.47,71.93,55.74,75.72,40.13,3038278.07,700982.26
"2025-09-01","Lyft",14,45341,14.488,61.73,75.78,59.16,79.18,41.6,2798953.51,656901.56
"2025-09-01","Lyft",15,37697,15.482,65.12,79.63,62.17,84.08,43.57,2454916.59,583638.61
"2025-09-01","Lyft",16,40010,16.519,70.3,87.67,66.86,91.64,46.03,2812624.1,660918.31
"2025-09-01","Lyft",17,43237,17.487,74.99,93.43,71.16,98.39,48.97,3242385.25,756084.55
"2025-09-01","Lyft",18,30805,18.461,77.35,95.25,73.43,101.11,50.62,2382851.37,568690.44
"2025-09-01","Lyft",19,21148,19.476,78.8,96.68,74.93,101.95,50.55,1666441.6,411879.72
"2025-09-01","Lyft",20,15443,20.477,81.35,99.58,77.54,104.65,51.63,1256256.75,316223.18
"2025-09-01","Lyft",21,11825,21.479,84.39,102.88,80.35,108.38,52.51,997932.29,253988.06
"2025-09-01","Lyft",22,9795,22.49,86.69,105.75,82.68,111.56,52.99,849175.98,220290.58
"2025-09-01","Lyft",23,8357,23.482,88.47,107.68,84.49,114.01,52.75,739330.11,196242.52
"2025-09-01","Lyft",24,7397,24.501,90.46,109.68,86.97,116.63,52.9,669122.44,181231.46
"2025-09-01","Lyft",25,7305,25.494,92.18,111.59,88.98,120.08,53.81,673377.67,186236.9
"2025-09-01","Lyft",26,6791,26.482,95.06,114.77,91.48,124.27,54.6,645540.74,179840.76
"2025-09-01","Lyft",27,6125,27.5,99.17,120.01,94.9,127.73,55.93,607428.96,168436.82
"2025-09-01","Lyft",28,5688,28.486,102.22,123.97,97.97,130.61,57.32,581412.17,162027.43
"2025-09-01","Lyft",29,4396,29.476,106.23,128.06,101.56,136.83,59.36,466987.55,129575.72
"2025-09-01","Lyft",30,3721,30.495,110.1,131.55,105.02,140.91,60.27,409668.62,113470.71
"2025-09-01","Lyft",31,3378,31.488,113.15,134.73,107.74,144.27,61.25,382220.83,106365.37
"2025-09-01","Lyft",32,3272,32.483,115.97,137.21,110.04,144.97,62.49,379466.78,106283.6
"2025-09-01","Lyft",33,2711,33.501,119.55,140.84,113.32,154.21,64.2,324100.7,90821.28
"2025-09-01","Lyft",34,2396,34.49,122.7,144.02,116.35,155.54,64.43,293979.14,82637.81
"2025-09-01","Lyft",35,2142,35.488,125.37,146.67,119.1,161.13,65.47,268548.37,76014.23
"2025-09-01","Lyft",36,1983,36.49,128.14,150.14,121.71,161.17,67.45,254104.86,72360.23
"2025-09-01","Lyft",37,1792,37.491,130.32,151.26,124.16,166.79,68.27,233524.93,67184.09
"2025-09-01","Lyft",38,1719,38.503,132.15,153.63,126.37,166.2,68.72,227161.15,66186.92
"2025-09-01","Lyft",39,1609,39.498,135.9,157.05,129.45,173.26,70.41,218662.01,63552.17
"2025-09-01","Lyft",40,1329,40.482,137.67,158.8,132.36,172.75,71.78,182968.11,53800.4
"2025-09-01","Lyft",41,1235,41.478,142.72,164.16,135.5,181.37,72.76,176257.02,51225.66
"2025-09-01","Lyft",42,1035,42.486,143.42,165.03,135.85,183.13,73.98,148434.66,43973.35
"2025-09-01","Lyft",43,1055,43.506,145.43,167.09,139.18,183.8,74.4,153425.63,45898.97
"2025-09-01","Lyft",44,929,44.494,147.32,168.27,140.86,184.69,73.95,136864.2,41335.1
"2025-09-01","Lyft",45,931,45.496,152.7,174.69,144.99,192.12,77.06,142159.5,42356.46
"2025-09-01","Lyft",46,750,46.491,154.3,176.2,146.88,191.06,77.19,115725.89,34868.34
"2025-09-01","Lyft",47,715,47.497,160.38,182.79,152.08,203.72,78.28,114670.6,33960.08
"2025-09-01","Lyft",48,705,48.476,162.43,185.26,153.19,208.45,79.43,114510.16,34175.72
"2025-09-01","Lyft",49,631,49.501,167.46,191.01,157.22,207.26,82.13,105664.55,31235.25
"2025-09-01","Lyft",50,505,50.484,166.91,189.84,159.62,207.89,82,84290.02,25494.64
"2025-09-01","Lyft",51,462,51.512,173.71,197.68,165.92,215.33,85,80252.85,23798.45
"2025-09-01","Lyft",52,417,52.475,173.76,197.53,164.86,220.1,84.6,72456.64,21881.95
"2025-09-01","Lyft",53,388,53.472,178.02,202.49,172.13,218.43,86.02,69070.3,20746.94
"2025-09-01","Lyft",54,345,54.49,179.47,202.4,172.35,219.79,87.43,61916.46,18799.19
"2025-09-01","Lyft",55,299,55.488,184.11,207.24,174.43,236.2,90.16,55050.28,16591.04
"2025-09-01","Lyft",56,268,56.482,189.36,212.5,178.02,237.31,91.17,50749.21,15137.22
"2025-09-01","Lyft",57,232,57.529,197.72,222.9,179.96,248.07,94.45,45871.41,13346.66
"2025-09-01","Lyft",58,212,58.493,195.75,221.59,179.98,248.81,94.29,41498.1,12400.5
"2025-09-01","Lyft",59,185,59.494,195.73,220.38,185.22,256.45,89.92,36210.67,11006.42
"2025-09-01","Lyft",60,2980,81.041,258.67,290.22,234.48,357.22,119.28,770833.04,241503.52
"2025-09-01","Uber",0,1401387,0.745,11.03,13.54,8.96,16.81,6.35,15454792.94,1044223.33
"2025-09-01","Uber",1,3356071,1.465,14.99,18.13,12.64,23.84,10.75,50302221.91,4916715.96
"2025-09-01","Uber",2,2101652,2.458,20.24,24.08,17.68,31.43,15.78,42530973.12,5165379.1
"2025-09-01","Uber",3,1436335,3.467,24.18,28.83,21.48,36.67,19.63,34732060.86,4979076.93
"2025-09-01","Uber",4,1034163,4.47,27.32,32.9,24.6,40.84,22.71,28252001.77,4622834.98
"2025-09-01","Uber",5,778378,5.47,30.33,36.54,27.38,45.8,25.22,23610191.63,4257963.79
"2025-09-01","Uber",6,599556,6.476,32.87,39.68,29.72,49.43,27.13,19706502.44,3882959.63
"2025-09-01","Uber",7,495690,7.481,36.33,44.2,32.89,54.75,29.08,18008572.09,3708061.66
"2025-09-01","Uber",8,429501,8.487,40.39,50.09,36.43,61.92,31.1,17346281.53,3645183.57
"2025-09-01","Uber",9,404886,9.49,46.22,57.96,41.53,72.43,33.28,18713644.07,3842271.5
"2025-09-01","Uber",10,340492,10.47,49.3,61.15,44.62,76.01,34.98,16786298.35,3564793.07
"2025-09-01","Uber",11,246779,11.472,50.17,61.43,45.8,75.22,37,12381918.4,2830997.11
"2025-09-01","Uber",12,191909,12.469,52.38,64.08,48.09,77.74,38.66,10051849.08,2392836.08
"2025-09-01","Uber",13,155854,13.485,56.29,69.18,51.4,84.5,40.18,8773136.29,2101633.63
"2025-09-01","Uber",14,137232,14.485,60.32,73.88,55.47,89.95,41.7,8277805.72,1987805.87
"2025-09-01","Uber",15,116881,15.481,63.81,77.78,58.9,94.35,43.85,7458472.94,1809429.66
"2025-09-01","Uber",16,125439,16.521,73.51,90.97,68.11,110.98,46.2,9220763.56,2072436.13
"2025-09-01","Uber",17,147548,17.489,83.29,103,77.5,126.29,50.19,12289541.58,2580534.25
"2025-09-01","Uber",18,104031,18.453,83.08,101.87,76.76,125.89,51.54,8642553.81,1919684.66
"2025-09-01","Uber",19,70758,19.467,82.42,100.6,76.44,122.35,51.17,5832072.08,1377422.06
"2025-09-01","Uber",20,53091,20.472,85.3,103.93,79.75,126.19,52.48,4528857.64,1086860.32
"2025-09-01","Uber",21,38961,21.472,89.55,108.72,83.85,133.07,54.11,3488976.52,836566.38
"2025-09-01","Uber",22,30514,22.478,92.36,111.8,86.58,135.84,53.94,2818178.33,685887.55
"2025-09-01","Uber",23,25267,23.48,95.42,115.18,89.48,140.48,53.97,2410938.05,593272.17
"2025-09-01","Uber",24,21235,24.486,99.44,119.45,93.53,146.69,54.16,2111580.87,519960.65
"2025-09-01","Uber",25,19708,25.486,103.5,124.06,97.5,150.95,54.48,2039682.15,502277.31
"2025-09-01","Uber",26,18582,26.487,108.34,129.57,102.31,157,55.41,2013110.01,492190.46
"2025-09-01","Uber",27,16373,27.493,114.26,136.67,108.15,165.3,56.6,1870769.7,450147.03
"2025-09-01","Uber",28,15003,28.473,119.13,142.48,112.88,171.67,57.66,1787331.73,427187.38
"2025-09-01","Uber",29,11674,29.48,125.27,148.55,118.92,179.93,59.71,1462361.76,344143.99
"2025-09-01","Uber",30,9829,30.485,128.6,151.38,122.15,186.39,60.48,1263980.7,299633.66
"2025-09-01","Uber",31,9014,31.487,132.49,155.12,126.48,188.79,61.4,1194261.16,283821.07
"2025-09-01","Uber",32,8511,32.493,136.06,158.25,128.8,194.5,61.95,1158033.67,276544.81
"2025-09-01","Uber",33,7706,33.49,142.06,164.85,133.81,206.02,63.78,1094677.79,258075.51
"2025-09-01","Uber",34,6866,34.488,147.37,170.43,138.53,212.52,65.23,1011846.02,236794.67
"2025-09-01","Uber",35,6315,35.492,149.22,172.49,141.33,214.78,65.99,942347.08,224133.19
"2025-09-01","Uber",36,5653,36.485,153.52,177.07,144.77,219.87,67.71,867855.37,206248.67
"2025-09-01","Uber",37,4857,37.487,156.11,179.27,148.04,223.37,68.41,758210.36,182074.32
"2025-09-01","Uber",38,4672,38.484,160.13,183.17,151.58,228.34,70.51,748142.16,179797.33
"2025-09-01","Uber",39,4034,39.476,161.21,183.88,154.03,229.03,71.23,650320.72,159245.63
"2025-09-01","Uber",40,3538,40.491,164.58,187.63,155.95,234.6,71.49,582295.65,143257.62
