"month","operator","bucket_order","wait_bucket","trips_with_wait"
"2025-04-01","Uber",12,"20-25 мин",26612
"2025-04-01","Lyft",13,"25-30 мин",2552
"2025-04-01","Uber",13,"25-30 мин",7904
"2025-04-01","Lyft",14,"30+ мин",1568
"2025-04-01","Uber",14,"30+ мин",6313
"2025-05-01","Lyft",1,"0-30 сек",2710
"2025-05-01","Uber",1,"0-30 сек",14172
"2025-05-01","Lyft",2,"30-60 сек",29502
"2025-05-01","Uber",2,"30-60 сек",135356
"2025-05-01","Lyft",3,"1-2 мин",451887
"2025-05-01","Uber",3,"1-2 мин",1181983
"2025-05-01","Lyft",4,"2-3 мин",891420
"2025-05-01","Uber",4,"2-3 мин",2546226
"2025-05-01","Lyft",5,"3-4 мин",1104902
"2025-05-01","Uber",5,"3-4 мин",2927194
"2025-05-01","Lyft",6,"4-5 мин",1011585
"2025-05-01","Uber",6,"4-5 мин",2394876
"2025-05-01","Lyft",7,"5-6 мин",768847
"2025-05-01","Uber",7,"5-6 мин",1716043
"2025-05-01","Lyft",8,"6-8 мин",890775
"2025-05-01","Uber",8,"6-8 мин",1970942
"2025-05-01","Lyft",9,"8-10 мин",397938
"2025-05-01","Uber",9,"8-10 мин",928987
"2025-05-01","Lyft",10,"10-15 мин",310394
"2025-05-01","Uber",10,"10-15 мин",819731
"2025-05-01","Lyft",11,"15-20 мин",64503
"2025-05-01","Uber",11,"15-20 мин",196054
"2025-05-01","Lyft",12,"20-25 мин",16493
"2025-05-01","Uber",12,"20-25 мин",43710
"2025-05-01","Lyft",13,"25-30 мин",5110
"2025-05-01","Uber",13,"25-30 мин",12605
"2025-05-01","Lyft",14,"30+ мин",3125
"2025-05-01","Uber",14,"30+ мин",9559
"2025-06-01","Lyft",1,"0-30 сек",2245
"2025-06-01","Uber",1,"0-30 сек",15450
"2025-06-01","Lyft",2,"30-60 сек",23306
"2025-06-01","Uber",2,"30-60 сек",142246
"2025-06-01","Lyft",3,"1-2 мин",352655
"2025-06-01","Uber",3,"1-2 мин",1105512
"2025-06-01","Lyft",4,"2-3 мин",739070
"2025-06-01","Uber",4,"2-3 мин",2332905
"2025-06-01","Lyft",5,"3-4 мин",991581
"2025-06-01","Uber",5,"3-4 мин",2689700
"2025-06-01","Lyft",6,"4-5 мин",957499
"2025-06-01","Uber",6,"4-5 мин",2249523
"2025-06-01","Lyft",7,"5-6 мин",758155
"2025-06-01","Uber",7,"5-6 мин",1648767
"2025-06-01","Lyft",8,"6-8 мин",907518
"2025-06-01","Uber",8,"6-8 мин",1903947
"2025-06-01","Lyft",9,"8-10 мин",419424
"2025-06-01","Uber",9,"8-10 мин",888743
"2025-06-01","Lyft",10,"10-15 мин",339186
"2025-06-01","Uber",10,"10-15 мин",789811
"2025-06-01","Lyft",11,"15-20 мин",70355
"2025-06-01","Uber",11,"15-20 мин",198023
"2025-06-01","Lyft",12,"20-25 мин",17651
"2025-06-01","Uber",12,"20-25 мин",43016
"2025-06-01","Lyft",13,"25-30 мин",5374
"2025-06-01","Uber",13,"25-30 мин",11765
"2025-06-01","Lyft",14,"30+ мин",3640
"2025-06-01","Uber",14,"30+ мин",9024
"2025-07-01","Lyft",1,"0-30 сек",2214
"2025-07-01","Uber",1,"0-30 сек",16687
"2025-07-01","Lyft",2,"30-60 сек",29086
"2025-07-01","Uber",2,"30-60 сек",192925
"2025-07-01","Lyft",3,"1-2 мин",447958
"2025-07-01","Uber",3,"1-2 мин",1414525
"2025-07-01","Lyft",4,"2-3 мин",899253
"2025-07-01","Uber",4,"2-3 мин",2768025
"2025-07-01","Lyft",5,"3-4 мин",1100306
"2025-07-01","Uber",5,"3-4 мин",2891686
"2025-07-01","Lyft",6,"4-5 мин",952518
"2025-07-01","Uber",6,"4-5 мин",2188511
"2025-07-01","Lyft",7,"5-6 мин",676952
"2025-07-01","Uber",7,"5-6 мин",1469948
"2025-07-01","Lyft",8,"6-8 мин",715405
"2025-07-01","Uber",8,"6-8 мин",1561657
"2025-07-01","Lyft",9,"8-10 мин",293029
"2025-07-01","Uber",9,"8-10 мин",693898
"2025-07-01","Lyft",10,"10-15 мин",218595
"2025-07-01","Uber",10,"10-15 мин",614240
"2025-07-01","Lyft",11,"15-20 мин",44679
"2025-07-01","Uber",11,"15-20 мин",148842
"2025-07-01","Lyft",12,"20-25 мин",12058
"2025-07-01","Uber",12,"20-25 мин",31448
"2025-07-01","Lyft",13,"25-30 мин",4052
"2025-07-01","Uber",13,"25-30 мин",8832
"2025-07-01","Lyft",14,"30+ мин",2863
"2025-07-01","Uber",14,"30+ мин",6741
"2025-08-01","Lyft",1,"0-30 сек",2063
"2025-08-01","Uber",1,"0-30 сек",16324
"2025-08-01","Lyft",2,"30-60 сек",30986
"2025-08-01","Uber",2,"30-60 сек",201896
"2025-08-01","Lyft",3,"1-2 мин",474284
"2025-08-01","Uber",3,"1-2 мин",1478468
"2025-08-01","Lyft",4,"2-3 мин",945399
"2025-08-01","Uber",4,"2-3 мин",2843851
"2025-08-01","Lyft",5,"3-4 мин",1143760
"2025-08-01","Uber",5,"3-4 мин",2880208
"2025-08-01","Lyft",6,"4-5 мин",976130
"2025-08-01","Uber",6,"4-5 мин",2090425
"2025-08-01","Lyft",7,"5-6 мин",681229
"2025-08-01","Uber",7,"5-6 мин",1340696
"2025-08-01","Lyft",8,"6-8 мин",687867
"2025-08-01","Uber",8,"6-8 мин",1339843
"2025-08-01","Lyft",9,"8-10 мин",263627
"2025-08-01","Uber",9,"8-10 мин",553576
"2025-08-01","Lyft",10,"10-15 мин",183377
"2025-08-01","Uber",10,"10-15 мин",480187
"2025-08-01","Lyft",11,"15-20 мин",34597
"2025-08-01","Uber",11,"15-20 мин",132865
"2025-08-01","Lyft",12,"20-25 мин",9253
"2025-08-01","Uber",12,"20-25 мин",40153
"2025-08-01","Lyft",13,"25-30 мин",3112
"2025-08-01","Uber",13,"25-30 мин",12795
"2025-08-01","Lyft",14,"30+ мин",2419
"2025-08-01","Uber",14,"30+ мин",8374
"2025-09-01","Lyft",1,"0-30 сек",2409
