"month","segment","operator","trips","avg_fare","avg_driver_pay","fare_per_mile","tip_rate_on_fare","driver_pay_ratio","sum_base_fare","sum_total_fare","sum_tips","sum_driver_pay","sum_miles"
"2025-07-01","Airport","Uber",1291859,77.49,44.35,4.82,0.06,0.7109,80606662.11,100103597.58,4837701.5,57299618.79,16717842.33
"2025-07-01","Manhattan","Lyft",2293257,33.48,20.28,5.53,0.0531,0.7776,59799744.3,76776142.79,3176512.05,46502611.64,10807785.14
"2025-07-01","Manhattan","Uber",5526084,38.26,22.17,6.04,0.0464,0.7313,167508700.69,211423944.5,7777428.76,122492559.62,27715967.81
"2025-07-01","Regular","Lyft",2743577,20.72,15.03,5.22,0.0339,0.8155,50555972.2,56839444.97,1712550.07,41227746.14,9687165.1
"2025-07-01","Regular","Uber",7315773,21.13,16.27,4.67,0.0262,0.8724,136481937.63,154558054.04,3570676.2,119061024.9,29201918.82
"2025-08-01","Airport","Lyft",460548,72.54,44.78,4.29,0.0731,0.7688,26824964,33410319.44,1960357.12,20622010.07,6252246.87
"2025-08-01","Airport","Uber",1282327,78.34,44.34,4.86,0.0585,0.7012,81075977.37,100458004.75,4740102.71,56853585.13,16671536.05
"2025-08-01","Manhattan","Lyft",2177332,33.87,20.62,5.4,0.052,0.7807,57517626,73743647.15,2989087.28,44905051.57,10651619.29
"2025-08-01","Manhattan","Uber",5294360,36.85,21.81,5.73,0.0452,0.7514,153705487.08,195089673.03,6953080.09,115491858.75,26807724.96
"2025-08-01","Regular","Lyft",2890033,21.96,15.64,5.29,0.0324,0.7972,56678919.01,63459703.84,1835072.62,45186066.06,10712551.26
"2025-08-01","Regular","Uber",6973619,21.8,16.39,4.78,0.0263,0.8514,134252468.35,152006139.12,3528326.14,114297590.95,28080049.07
"2025-09-01","Airport","Lyft",482777,71,44.19,4.39,0.0789,0.7803,27336284.45,34275613.48,2156006.15,21331697.98,6223864.02
"2025-09-01","Airport","Uber",1279107,84.73,47.68,5.12,0.0629,0.695,87755715.23,108382532.63,5524043.92,60990227.77,17144647.25
"2025-09-01","Manhattan","Lyft",2225253,36.24,22.11,5.8,0.0536,0.7754,63435267.95,80632623.48,3401454.25,49189605.09,10944384.45
"2025-09-01","Manhattan","Uber",5937358,40.19,23.77,6.4,0.046,0.7433,189840958.25,238617996.5,8723898.21,141111430.37,29675819.82
"2025-09-01","Regular","Lyft",2677921,22.72,15.79,5.64,0.0331,0.7778,54352299.44,60846287.49,1797946.91,42275851.93,9640386.05
"2025-09-01","Regular","Uber",6821250,22.31,16.62,5.06,0.0267,0.8424,134556833.75,152184112.37,3591119.95,113355660.33,26613967.07
"2025-10-01","Airport","Lyft",507669,72.77,44.73,4.49,0.0794,0.7641,29716629.85,36943431.71,2359159.58,22707294.69,6621107.68
"2025-10-01","Airport","Uber",1367939,84.1,47.54,5.1,0.0689,0.699,93027792.62,115047417.4,6409334.19,65027683.39,18257958.08
"2025-10-01","Manhattan","Lyft",2492116,34.65,22.03,5.57,0.0557,0.8141,67448319.65,86362472.6,3755585.45,54909214.72,12106073.56
"2025-10-01","Manhattan","Uber",6421535,38.47,23.11,6.2,0.0509,0.7587,195570162.84,247051142.73,9960676.78,148380253.62,31519571.8
"2025-10-01","Regular","Lyft",2806313,21.24,15.67,5.32,0.0355,0.8291,53035353.98,59607800.5,1881311.95,43972785.72,9966184.11
"2025-10-01","Regular","Uber",7676339,20.87,16.28,4.82,0.0287,0.8826,141602242.97,160170753.05,4057450.2,124982704.96,29369208.28
"2025-11-01","Airport","Lyft",470544,74.36,44.22,4.55,0.0751,0.7389,28162704.57,34987709.6,2114062.18,20809247.79,6183774.01
"2025-11-01","Airport","Uber",1243859,83.77,46.63,5.08,0.0632,0.6893,84151319.34,104194528.66,5314276.79,58003774.82,16568026.29
"2025-11-01","Manhattan","Lyft",2495568,34.83,22.01,5.54,0.0546,0.8096,67860289.42,86925499.88,3703451.11,54937740.08,12254161.06
"2025-11-01","Manhattan","Uber",6053215,38.77,23.01,6.3,0.0479,0.7471,186399249.09,234710719.44,8920212.94,139261098.83,29572213.45
"2025-11-01","Regular","Lyft",2941746,21.42,15.81,5.22,0.0345,0.8302,56001400.83,63000297.24,1934265.01,46494960.91,10726719.86
"2025-11-01","Regular","Uber",7605272,20.87,16.09,4.86,0.027,0.8721,140307619.62,158714238.36,3784041.13,122363872.27,28847401.44
"2025-12-01","Airport","Lyft",464884,79.42,45.39,4.98,0.0769,0.7009,30104986.44,36920509.07,2315924.53,21100127.74,6043725.24
"2025-12-01","Airport","Uber",1334188,86.92,47.86,5.38,0.0634,0.6779,94185794.12,115962767.22,5970201.02,63848150.68,17514889.8
"2025-12-01","Manhattan","Lyft",2438506,35.62,21.71,6.03,0.0601,0.7722,68567548.29,86859652.04,4121127.93,52947912.51,11367005
"2025-12-01","Manhattan","Uber",6149565,42.27,24.74,6.83,0.0516,0.728,208953282.72,259959756.55,10775961.56,152110593.53,30604042.85
"2025-12-01","Regular","Lyft",3197680,20.2,15.01,5.36,0.0369,0.8346,57521889.14,64589709.68,2124711.66,48009857.86,10735728.5
"2025-12-01","Regular","Uber",8484379,20.49,15.81,5,0.0283,0.8714,153921110.01,173858761.51,4355649.98,134127241.81,30775524.6
"2026-01-01","Airport","Lyft",381286,76.17,43.14,4.64,0.0752,0.6976,23576769.52,29043219.97,1773568.74,16447585.86,5086199.58
"2026-01-01","Airport","Uber",1146626,81.87,45.34,4.91,0.0621,0.688,75554698.36,93872938.61,4695709.46,51982741.03,15378608.12
"2026-01-01","Manhattan","Lyft",2285069,33.69,20.38,5.83,0.0567,0.7711,60405743.47,76986823.21,3426444.64,46579558.18,10365787.46
"2026-01-01","Manhattan","Uber",5805582,37.4,21.41,6.42,0.0474,0.7224,172082634.78,217154988.36,8164100.22,124309234.87,26790908.05
"2026-01-01","Regular","Lyft",2985682,20.57,15.02,5.57,0.0374,0.8197,54699351.91,61403763.55,2043866.32,44839599.17,9824056.46
"2026-01-01","Regular","Uber",8231351,20.68,15.82,5.16,0.0282,0.8636,150795041.24,170199820.01,4248381.27,130226969.28,29247593.82
"2026-02-01","Airport","Lyft",365850,76.05,44.43,4.63,0.0756,0.7166,22681754.61,27824043.26,1714876.44,16254697.46,4899801.75
"2026-02-01","Airport","Uber",1085982,82.62,46.69,4.96,0.0639,0.7031,72125375.54,89718718.81,4609618.56,50708435.04,14552732.83
"2026-02-01","Manhattan","Lyft",2185734,34.08,20.66,6.22,0.055,0.7675,58848507.05,74500247.82,3235028.14,45167973.95,9458472.2
"2026-02-01","Manhattan","Uber",5473853,39.07,22.79,6.48,0.0462,0.7348,169767422.11,213886138.68,7836699.26,124737798.43,26217527.02
"2026-02-01","Regular","Lyft",3155006,20.57,15.03,6,0.0364,0.8173,58039282.99,64906494.7,2113707.35,47432872.25,9671761.23
"2026-02-01","Regular","Uber",7600545,21.96,16.28,5.36,0.0278,0.8373,147781879.5,166885648.92,4112935.83,123735635.82,27575888.65
"2026-03-01","Airport","Lyft",438945,79.85,45.66,4.81,0.0771,0.7072,28340619.67,35048071.27,2185022.58,20041509.56,5887445.14
"2026-03-01","Airport","Uber",1283774,87.89,48.1,5.22,0.0647,0.6821,90539101.66,112826648.27,5860959.92,61755299.13,17333586.91
"2026-03-01","Manhattan","Lyft",2389049,35.8,21.04,6.2,0.0549,0.7402,67903591.85,85536661.63,3725126.48,50261493.85,10955744.74
"2026-03-01","Manhattan","Uber",6144521,39.64,22.94,6.48,0.0467,0.7275,193744398.89,243567843.1,9038897.41,140946090.75,29915447.22
"2026-03-01","Regular","Lyft",3271776,22.05,15.03,6.06,0.0328,0.7616,64562364.64,72141168.94,2120521.58,49167954.85,10651262.3
"2026-03-01","Regular","Uber",8517306,21.72,16.24,5.27,0.0251,0.8451,163704092.11,184972633.7,4103055.31,138344364.54,31076210.58
"2026-04-01","Airport","Lyft",389593,77.44,45.06,4.68,0.0854,0.7311,24008641.35,30171725.43,2049379.62,17553563.28,5129623
"2026-04-01","Airport","Uber",1294004,85.98,47.59,5.09,0.0669,0.6947,88643909.34,111259802.04,5927360.69,61579835.53,17412524.3
"2026-04-01","Manhattan","Lyft",2229512,35.83,21.55,5.97,0.0569,0.757,63462071.95,79891897.59,3609577.57,48040195.87,10622532.34
"2026-04-01","Manhattan","Uber",6209672,38.48,22.6,6.33,0.0479,0.7413,189296068.07,238949574.34,9067651.06,140327107.25,29920130.1
"2026-04-01","Regular","Lyft",2977397,22.22,15.21,5.8,0.0336,0.7643,59260066.27,66166133.59,1993164.58,45293547.94,10217769.16
"2026-04-01","Regular","Uber",7866446,21.16,15.93,5.12,0.0268,0.8512,147224422.83,166445018.85,3948041.94,125316515.32,28742749.61
